,AMVSAD,AHD-MSDA
0,0.028158007189631462,0.08012115955352783
1,0.0252335574477911,0.032484348863363266
2,0.02751496434211731,0.02638622559607029
3,0.07804033160209656,0.06789825111627579
4,0.056966520845890045,0.05586008355021477
5,0.07723486423492432,0.059174809604883194
6,0.04965978115797043,0.02587941847741604
7,0.02043006382882595,0.05138961598277092
8,0.05279640480875969,0.03865775838494301
9,0.036853983998298645,0.029180100187659264
10,0.02065529301762581,0.06618120521306992
11,0.0298757404088974,0.03252322971820831
