,WANN,KLIEP,KMM,DANN,ADDA,DeepCORAL,MDD,TrAdaBoostR2
0,0.04095047257159361,0.03992742680030542,0.03347168770828128,0.03859206947537947,0.037459317483982395,0.04135485685152054,0.04259377551700639,0.04349642834549127
1,0.037123161791497716,0.04134996073189703,0.02831379013054286,0.038384484743213404,0.050455990293748594,0.0399165768506892,0.039750320935348846,0.04433857893621623
2,0.038544170906856585,0.03926159089402587,0.029202857530353055,0.040706467591671555,0.12459916997320945,0.04408237628275279,0.04231842469345254,0.04406200231058985
3,0.07296037003987908,0.06923505085872873,0.06275245681631457,0.07269437006329188,0.04680896540693186,0.07557376678683965,0.07507806272052489,0.0747063871510221
4,0.07378347414908241,0.07267714186455139,0.07094578368028114,0.07221564929705718,0.0482283994593275,0.07898429485314219,0.0767091581183999,0.07605095829078048
5,0.07176134205417928,0.07339928070357628,0.07474216596144737,0.07197886616494986,0.08049655783510415,0.07636728514002776,0.07405262299132241,0.07488770967150463
6,0.05348799271325292,0.048856429213941975,0.037595554193624155,0.04788807505321959,0.04173575828675835,0.05517668333423747,0.05403451614294453,0.051036889647826794
7,0.04970400172367369,0.05141787809905379,0.045528056762264485,0.04679514956190401,0.03560591983018536,0.04986300758543072,0.05070952264955417,0.05066781574047956
8,0.0490469825845311,0.04614760151773439,0.04433896049375859,0.05268169186088529,0.031599557434289625,0.057723732645967175,0.05893179885412196,0.05228645457869566
9,0.03719398387250098,0.038277729086556314,0.02815693426100251,0.04007638801201892,0.02681157088331512,0.04074798760168961,0.040946739524819226,0.04276678873664824
10,0.037805223069568225,0.04296775162034281,0.03111632350474302,0.039022730773979865,0.04502999297822994,0.03638972568747243,0.0377201438000084,0.0416821557404738
11,0.03870578550350358,0.04072797184202495,0.03629033747443154,0.03756562794856478,0.02186333350891928,0.041707337639582655,0.04301410178015559,0.04202740721428093
