,AMVSAD,AHD-MSDA
0,0.010459626093506813,0.0067036887630820274
1,0.010139623656868935,0.00612690020352602
2,0.010098222643136978,0.008747439831495285
3,0.02697332762181759,0.01555669866502285
4,0.023563208058476448,0.017141597345471382
5,0.021352242678403854,0.01475621946156025
6,0.014060495421290398,0.009378688409924507
7,0.013318668119609356,0.00931362621486187
8,0.013970138505101204,0.007600213401019573
9,0.010321504436433315,0.008185498416423798
10,0.009504752233624458,0.0071832784451544285
11,0.009250689297914505,0.005911686457693577
